no_can;chapitre;designation
585 614 313;585;Ligne pour luminaire extérieur (Racc) (luminaire de chemin, de jardin ou borne), dans tranchée existante, longueur de ligne plus de 10 à 15m, Mise en service non comprise à appliquer: 502111
585 614 314;585;Ligne pour luminaire extérieur (Racc) (luminaire de chemin, de jardin ou borne), dans tranchée existante, longueur de ligne plus de 15 à 20m, Mise en service non comprise à appliquer: 502111
585 614 315;585;Ligne pour luminaire extérieur (Racc) (luminaire de chemin, de jardin ou borne), dans tranchée existante, longueur de ligne plus de 20 à 25m, Mise en service non comprise à appliquer: 502111
585 615 101;585;Ligne pour capteur
585 841 111;585;Ligne avec prise depuis Eap
585 841 311;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne jusqu'à 5m
585 841 312;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 5 à 10m
585 841 313;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 10 à 15m
585 841 314;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 15 à 20m
585 841 315;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 20 à 25m
585 841 316;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 25 à 30m
585 841 317;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, longueur de ligne plus de 30 à 35m
585 841 331;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de jusqu'à 5m
585 841 332;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 5 à 10m
585 841 333;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 10 à 15m
585 841 334;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 15 à 20m
585 841 335;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 20 à 25m
585 841 336;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 25 à 30m
585 841 337;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, longueur de plus de 30 à 35m
585 841 411;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne jusqu'à 5m
585 841 412;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 5 à 10m
585 841 413;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 10 à 15m
585 841 414;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 15 à 20m
585 841 415;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 20 à 25m
585 841 416;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 25 à 30m
585 841 417;585;Ligne avec prise CEE IPX4 230V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de plus de 30 à 35m
