categorie;ensemble;couleur;code_couleur;fnr_complet;e_no_complet;designation_complet;piece;qte;fnr_piece;e_no_piece;designation_piece
PRISE;Prise 2xT13 dont 1 commutee;coffee;57;87203.FMI.S.57;657134890;Prise ENC EDIZIOdue 2×T13 coffee 1×S;kit_frontal;1;920-87203.FMI.S.57;378520890;Kit frontal EDIZIOdue coffee 88×88mm 2×T13/1
PRISE;Prise 3xT13;blanc;61;87303.FMI.61;657115000;Prise ENC EDIZIOdue 3×T13 blanc;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;blanc;61;87303.FMI.61;657115000;Prise ENC EDIZIOdue 3×T13 blanc;kit_frontal;1;920-87303.FMI.61;378503000;Kit frontal EDIZIOdue blanc 88×88mm 3×T13
PRISE;Prise 3xT13;noir;60;87303.FMI.60;657115950;Prise ENC EDIZIOdue 3×T13 noir 88×88×40mm;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;noir;60;87303.FMI.60;657115950;Prise ENC EDIZIOdue 3×T13 noir 88×88×40mm;kit_frontal;1;920-87303.FMI.60;378503950;Kit frontal EDIZIOdue noir 88×88mm 3×T13
PRISE;Prise 3xT13;crema;35;87303.FMI.35;657115010;Prise ENC EDIZIOdue 3×T13 crema;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;crema;35;87303.FMI.35;657115010;Prise ENC EDIZIOdue 3×T13 crema;kit_frontal;1;920-87303.FMI.35;378503010;Kit frontal EDIZIOdue crema 88×88mm 3×T13
PRISE;Prise 3xT13;gris clair;65;87303.FMI.65;657115030;Prise ENC EDIZIOdue 3×T13 gris clair;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;gris clair;65;87303.FMI.65;657115030;Prise ENC EDIZIOdue 3×T13 gris clair;kit_frontal;1;920-87303.FMI.65;378503030;Kit frontal EDIZIOdue gris clair 88×88mm 3×T13
PRISE;Prise 3xT13;gris fonce;67;87303.FMI.67;657115040;Prise ENC EDIZIOdue 3×T13 gris foncé;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;gris fonce;67;87303.FMI.67;657115040;Prise ENC EDIZIOdue 3×T13 gris foncé;kit_frontal;1;920-87303.FMI.67;378503040;Kit frontal EDIZIOdue gris foncé 88×88mm 3×T13
