fnr;e_no;designation;code_couleur;ean;article_suivi_snapfix
87066.LS.FMI.K.61.74;755186000;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED bleu;61;7613175121031;
87066.LS.FMI.K.61.84;755186004;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED vert;61;7613175121048;
87066.LS.FMI.K.L.35.34;755190010;Combinaison lum. ENC 6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175121642;
87066.LS.FMI.K.L.60.34;755190950;Combinaison lum. ENC 6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175121710;
87066.LS.FMI.K.L.61.34;755190000;Combinaison lum. ENC 6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175121727;
87066.LS.FMI.K.L.65.34;755190030;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175121734;
87066.LS.FMI.K.L.67.34;755190040;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175121864;
87066.LS.FMI.L.35.34;755170010;Combinaison lum. ENC 6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175121901;
87066.LS.FMI.L.60.34;755170950;Combinaison lum. ENC 6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175122533;
87066.LS.FMI.L.61.34;755170000;Combinaison lum. ENC 6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175122540;
87066.LS.FMI.L.65.34;755170030;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175122557;
87066.LS.FMI.L.67.34;755170040;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175122564;
87123-2.FMI.1X2.61;657641000;Combinaison ENC EDIZIOdue 1X2 23 +T23 blanc;61;7611386281919;
87123-2.FMI.2X1.61;657631000;Combinaison ENC EDIZIOdue 2X1 23 +T23 blanc;61;7611386281926;
87123.BKE.35;663604010;Prise INC EDIZIOdue T23 16A crema, bornes à vis;35;7611386623993;
87123.BKE.39;663604960;Prise INC EDIZIOdue T23 16A orange, bornes à vis;39;7611386624006;
87123.BKE.53.35;663605010;Prise INC EDIZIOdue T23 16A crema 53mm, bornes à vis;35;7611386624037;
87123.BKE.53.39;663605960;Prise INC EDIZIOdue T23 16A orange 53mm, bornes à vis;39;7611386624044;
87123.BKE.53.57;663605890;Prise INC EDIZIOdue T23 16A coffee 53mm, bornes à vis;57;7611386637488;
87123.BKE.53.60;663605950;Prise INC EDIZIOdue T23 16A noir 53mm, bornes à vis;60;7611386624075;
87123.BKE.53.61;663605000;Prise INC EDIZIOdue T23 16A blanc 53mm, bornes à vis;61;7611386624082;
87123.BKE.53.65;663605030;Prise INC EDIZIOdue T23 16A gris clair 53mm, bornes à vis;65;7611386624099;
87123.BKE.53.67;663605040;Prise INC EDIZIOdue T23 16A gris foncé 53mm, bornes à vis;67;7611386624105;
87123.BKE.53.FK.L1.35;753024010;Prise INC EDIZIOdue T23 L1 crema 45…69mm pour câble plat Technofil;35;7611386624396;
87123.BKE.53.FK.L1.39;753024960;Prise INC EDIZIOdue T23 L1 orange 45…69mm pour câble plat Technofil;39;7611386624402;
87123.BKE.53.FK.L1.57;753024890;Prise INC EDIZIOdue T23 L1 coffee 45…69mm pour câble plat Technofil;57;7611386637501;
87123.BKE.53.FK.L1.60;753024950;Prise INC EDIZIOdue T23 L1 noir 45…69mm pour câble plat Technofil;60;7611386624433;
87123.BKE.53.FK.L1.61;753024000;Prise INC EDIZIOdue T23 L1 blanc 45…69mm pour câble plat Technofil;61;7611386624440;
87123.BKE.53.FK.L1.65;753024030;Prise INC EDIZIOdue T23 L1 gris clair, 45…69mm pour câble Technofil;65;7611386624457;
87123.BKE.53.FK.L1.67;753024040;Prise INC EDIZIOdue T23 L1 gris foncé 45…69mm pour câble Technofil;67;7611386624464;
87123.BKE.53.FK.L2.35;753025010;Prise INC EDIZIOdue T23 L2 crema 45…69mm pour câble plat Technofil;35;7611386624488;
87123.BKE.53.FK.L2.39;753025960;Prise INC EDIZIOdue T23 L2 orange 45…69mm pour câble plat Technofil;39;7611386624495;
87123.BKE.53.FK.L2.57;753025890;Prise INC EDIZIOdue T23 L2 coffee 45…69mm pour câble plat Technofil;57;7611386658667;
87123.BKE.53.FK.L2.60;753025950;Prise INC EDIZIOdue T23 L2 noir 45…69mm pour câble plat Technofil;60;7611386624525;
87123.BKE.53.FK.L2.61;753025000;Prise INC EDIZIOdue T23 L2 blanc 45…69mm pour câble plat Technofil;61;7611386624532;
87123.BKE.53.FK.L2.65;753025030;Prise INC EDIZIOdue T23 L2 gris clair, 45…69mm pour câble Technofil;65;7611386624549;
87123.BKE.53.FK.L2.67;753025040;Prise INC EDIZIOdue T23 L2 gris foncé 45…69mm pour câble Technofil;67;7611386624556;
87123.BKE.53.FK.L3.35;753026010;Prise INC EDIZIOdue T23 L3 crema 45…69mm pour câble plat Technofil;35;7611386624570;
87123.BKE.53.FK.L3.39;753026960;Prise INC EDIZIOdue T23 L3 orange 45…69mm pour câble plat Technofil;39;7611386624587;
87123.BKE.53.FK.L3.57;753026890;Prise INC EDIZIOdue T23 L3 coffee 45…69mm pour câble plat Technofil;57;7611386658681;
87123.BKE.53.FK.L3.60;753026950;Prise INC EDIZIOdue T23 L3 noir 45…69mm pour câble plat Technofil;60;7611386624617;
87123.BKE.53.FK.L3.61;753026000;Prise INC EDIZIOdue T23 L3 blanc 45…69mm pour câble plat Technofil;61;7611386624624;
87123.BKE.53.FK.L3.65;753026030;Prise INC EDIZIOdue T23 L3 gris clair, 45…69mm pour câble Technofil;65;7611386624631;
87123.BKE.53.FK.L3.67;753026040;Prise INC EDIZIOdue T23 L3 gris foncé 45…69mm pour câble Technofil;67;7611386624648;
87123.BKE.53.FP.L1.35;753224010;Prise INC EDIZIOdue T23 L1 crema 49…69mm pour câble plat Powerbus;35;7611386702988;
87123.BKE.53.FP.L1.39;753224960;Prise INC EDIZIOdue T23 L1 orange 49…69mm pour câble plat Powerbus;39;7611386703008;
87123.BKE.53.FP.L1.57;753224890;Prise INC EDIZIOdue T23 L1 coffee 49…69mm pour câble plat Powerbus;57;7611386658704;
87123.BKE.53.FP.L1.60;753224950;Prise INC EDIZIOdue T23 L1 noir 49…69mm pour câble plat Powerbus;60;7611386703046;
87123.BKE.53.FP.L1.61;753224000;Prise INC EDIZIOdue T23 L1 blanc 49…69mm pour câble plat Powerbus;61;7611386703053;
87123.BKE.53.FP.L1.65;753224030;Prise INC EDIZIOdue T23 L1 gris clair 49…69mm pour câble plat Powerbus;65;7611386703060;
87123.BKE.53.FP.L1.67;753224040;Prise INC EDIZIOdue T23 L1 gris foncé 49…69mm pour câble plat Powerbus;67;7611386703077;
87123.BKE.53.FP.L2.35;753225010;Prise INC EDIZIOdue T23 L2 crema 49…69mm pour câble plat Powerbus;35;7611386703657;
87123.BKE.53.FP.L2.39;753225960;Prise INC EDIZIOdue T23 L2 orange 49…69mm pour câble plat Powerbus;39;7611386703671;
87123.BKE.53.FP.L2.57;753225890;Prise INC EDIZIOdue T23 L2 coffee 49…69mm pour câble plat Powerbus;57;7611386658728;
87123.BKE.53.FP.L2.60;753225950;Prise INC EDIZIOdue T23 L2 noir 49…69mm pour câble plat Powerbus;60;7611386703718;
87123.BKE.53.FP.L2.61;753225000;Prise INC EDIZIOdue T23 L2 blanc 49…69mm pour câble plat Powerbus;61;7611386703725;
87123.BKE.53.FP.L2.65;753225030;Prise INC EDIZIOdue T23 L2 gris clair 49…69mm pour câble plat Powerbus;65;7611386703732;
87123.BKE.53.FP.L2.67;753225040;Prise INC EDIZIOdue T23 L2 gris foncé 49…69mm pour câble plat Powerbus;67;7611386703749;
87123.BKE.53.FP.L3.35;753226010;Prise INC EDIZIOdue T23 L3 crema 49…69mm pour câble plat Powerbus;35;7611386703763;
87123.BKE.53.FP.L3.39;753226960;Prise INC EDIZIOdue T23 L3 orange 49…69mm pour câble plat Powerbus;39;7611386703787;
87123.BKE.53.FP.L3.57;753226890;Prise INC EDIZIOdue T23 L3 coffee 49…69mm pour câble plat Powerbus;57;7611386658759;
87123.BKE.53.FP.L3.60;753226950;Prise INC EDIZIOdue T23 L3 noir 49…69mm pour câble plat Powerbus;60;7611386703824;
87123.BKE.53.FP.L3.61;753226000;Prise INC EDIZIOdue T23 L3 blanc 49…69mm pour câble plat Powerbus;61;7611386704401;
87123.BKE.53.FP.L3.65;753226030;Prise INC EDIZIOdue T23 L3 gris clair 49…69mm pour câble plat Powerbus;65;7611386704418;
87123.BKE.53.FP.L3.67;753226040;Prise INC EDIZIOdue T23 L3 gris foncé 49…69mm pour câble plat Powerbus;67;7611386704425;
87123.BKE.57;663604890;Prise INC EDIZIOdue T23 16A coffee, bornes à vis;57;7611386666785;
87123.BKE.60;663604950;Prise INC EDIZIOdue T23 16A noir bornes à vis;60;7611386625836;
87123.BKE.61;663604000;Prise INC EDIZIOdue T23 16A blanc, bornes à vis;61;7611386625843;
87123.BKE.65;663604030;Prise INC EDIZIOdue T23 16A gris clair, bornes à vis;65;7611386625850;
87123.BKE.67;663604040;Prise INC EDIZIOdue T23 16A gris foncé, bornes à vis;67;7611386625867;
87123.F.35;639611010;Prise ENC EDIZIOdue T23 16A crema, bornes à vis;35;7611386654584;
87123.F.39;639611960;Prise ENC EDIZIOdue T23 16A orange, bornes à vis;39;7611386954042;
87123.F.57;639611890;Prise ENC EDIZIOdue T23 16A coffee, bornes à vis;57;7611386666822;
87123.F.60;639611950;Prise ENC EDIZIOdue T23 16A noir bornes à vis;60;7611386785899;
87123.F.61;639611000;Prise ENC EDIZIOdue T23 16A blanc, bornes à vis;61;7611386835587;
87123.F.65;639611030;Prise ENC EDIZIOdue T23 16A gris clair, bornes à vis;65;7611386785905;
